Set,Price_Euro,Pieces,Minifigs
Andrea's Pool Party,,468,2.0
Heartlake City Amusement Pier,,1251,7.0
Turtles Rescue Mission,,225,2.0
Dolphins Rescue Mission,,363,2.0
Heartlake City Restaurant,,624,3.0
Lighthouse Rescue Centre,,602,2.0
Rescue Mission Boat,,908,4.0
LEGO Friends Advent Calendar,,330,3.0
Olivia's Hamster Playground,,81,1.0
Andrea's Summer Heart Box,,83,1.0
Emma's Summer Heart Box,,86,1.0
Stephanie's Summer Heart Box,,95,1.0
Olivia's Summer Heart Box,,93,2.0
Mia's Summer Heart Box,,85,1.0
Emmet,,113,
Wyldstyle,,134,
Benny,,103,
Sweet Mayhem,,137,
Cherry Picker,,155,
Power Boat,,174,
Getaway Truck,,128,
Police Pursuit,,120,
Rescue Helicopter,,325,
Chevrolet Corvette ZR1,,579,
Tracked Loader,,827,
Remote-Controlled Stunt Racer,,324,
Porsche 911 RSR,,1580,
Compact Crawler Crane,,920,
Car Transporter,,2493,
4x4 X-Treme Off-Roader,,958,
Liebherr R 9800,,4108,
Land Rover Defender,,2573,
Elsa's Ice Palace,,701,7.0
City Shaper Challenge Kit,,2238,1.0
BOOMTOWN BUILD Inspire Set,,739,
BOOMTOWN BUILD Discovery Set,,78,4.0
Ski Resort,,806,11.0
